startIntersectionID,endIntersectionID,cost,time
538,622,16.8013,0.0
538,1084,140.381,0.0
538,537,160.875,0.0
2959,2952,17.9999,0.0
2959,2972,41.3523,0.0
2959,2967,110.062,0.0
1823,2612,25.2388,0.0
1823,217,55.0844,0.0
1823,1150,44.9913,0.0
537,538,48.8507,0.0
537,1364,39.9488,0.0
537,564,89.1533,0.0
2958,2950,42.7522,0.0
2958,5274,13.05,0.0
2958,2930,11.4406,0.0
1824,2064,43.916,0.0
1824,1753,5.63869,0.0
1824,1803,45.2411,0.0
1824,1473,15.5326,0.0
536,133,40.8555,0.0
536,581,36.3656,0.0
536,257,57.2626,0.0
536,1012,45.7987,0.0
1829,1443,20.5131,0.0
1829,1862,8.90635,0.0
1829,1861,22.3732,0.0
1827,115,25.4439,0.0
1827,1826,15.9612,0.0
1827,592,24.4293,0.0
1828,1420,67.3122,0.0
1828,1893,34.665,0.0
1828,1864,46.7242,0.0
1828,983,26.7249,0.0
6882,7038,57.4572,0.0
6882,5928,24.8539,0.0
6882,1013,16.4284,0.0
6882,5910,8.63489,0.0
6883,4948,21.8302,0.0
6883,7086,12.2471,0.0
6883,6884,7.9996,0.0
6883,6911,7.62627,0.0
6884,7129,27.6138,0.0
6884,6883,7.9996,0.0
6885,6800,20.1192,0.0
6885,6706,33.3084,0.0
6885,6481,39.6723,0.0
6880,6956,34.047,0.0
6880,6932,11.4139,0.0
6880,6482,67.4093,0.0
6881,4083,38.9483,0.0
6881,6877,26.9247,0.0
6881,6891,25.7266,0.0
6881,6925,10.5414,0.0
2940,3419,105.784,0.0
2940,2226,7.6247,0.0
2940,2777,12.8187,0.0
2940,2765,34.545,0.0
540,4408,28.1451,0.0
540,490,18.3998,0.0
540,539,26.6732,0.0
3,262,33.7038,0.0
3,2,37.2576,0.0
3,4707,39.1229,0.0
3,267,14.4152,0.0
6879,6866,7.96138,0.0
6879,7075,31.084,0.0
6879,3866,48.7388,0.0
2,4845,11.9946,0.0
2,3,12.7102,0.0
2,715,36.3351,0.0
542,1894,57.138,0.0
542,541,33.0333,0.0
542,1897,16.9649,0.0
1,4845,40.4951,0.0
1,0,20.5584,0.0
1,4,33.3934,0.0
541,542,56.8691,0.0
541,1054,18.9656,0.0
541,671,27.9464,0.0
541,618,53.4758,0.0
0,1,60.2632,0.0
0,713,61.2893,0.0
0,715,14.6358,0.0
0,232,44.7854,0.0
6876,6687,22.1531,0.0
6876,7055,13.1156,0.0
6876,7054,21.013,0.0
6876,6900,22.2636,0.0
2944,1982,23.9913,0.0
2944,2938,60.2578,0.0
2944,3429,13.054,0.0
544,668,26.9794,0.0
544,543,24.0528,0.0
544,631,27.0858,0.0
544,593,8.17083,0.0
7,4939,35.8869,0.0
7,18,24.9912,0.0
7,8,13.5538,0.0
7,11,30.9822,0.0
6875,7033,39.6392,0.0
6875,6231,11.2704,0.0
6875,6874,14.9135,0.0
2943,3088,10.007,0.0
2943,2828,22.0985,0.0
2943,2946,6.83423,0.0
543,544,79.2105,0.0
543,545,17.9978,0.0
543,1499,8.25662,0.0
6,427,26.8304,0.0
6,610,27.8816,0.0
6,5,27.8511,0.0
6,1768,33.4294,0.0
6878,6877,24.3794,0.0
6878,6926,17.3479,0.0
6878,6925,9.94436,0.0
2942,3493,8.30857,0.0
2942,3534,13.2864,0.0
2942,2432,5.81869,0.0
1810,1779,7.56654,0.0
1810,1854,17.4053,0.0
1810,1871,20.4857,0.0
546,773,19.5736,0.0
546,766,46.6441,0.0
546,580,23.2581,0.0
546,109,29.2062,0.0
546,778,43.2195,0.0
546,6870,90.1061,0.0
5,6,21.1938,0.0
5,83,25.5344,0.0
5,1768,27.7009,0.0
6877,6646,12.3662,0.0
6877,6878,9.66168,0.0
6877,6881,8.17588,0.0
2941,2876,55.6899,0.0
2941,4188,28.8726,0.0
2941,2934,159.668,0.0
1811,1892,174.468,0.0
1811,1466,33.9887,0.0
1811,1889,26.0333,0.0
1811,1378,23.7556,0.0
545,669,20.2883,0.0
545,689,17.075,0.0
545,543,13.6957,0.0
545,631,70.2417,0.0
4,1,15.7408,0.0
4,232,11.0954,0.0
4,238,30.8489,0.0
4,4412,44.1465,0.0
2948,6991,29.6051,0.0
2948,2730,94.0597,0.0
2948,6026,62.9251,0.0
1812,49,26.9878,0.0
1812,513,40.0574,0.0
1812,2363,18.9787,0.0
548,4217,33.9953,0.0
548,547,15.4416,0.0
548,76,13.8273,0.0
2947,2782,44.2553,0.0
2947,2276,19.8146,0.0
2947,2278,29.4543,0.0
2947,5262,19.3582,0.0
1813,1719,29.6267,0.0
547,5744,38.5909,0.0
