ID,x,y
520,310.18213,298.98584
1838,456.46033,210.80902
1839,617.80615,584.6284
529,500.05426,712.55615
1834,410.91797,213.59613
526,386.45624,720.88257
2969,349.30865,253.13806
1835,445.9298,209.17163
525,500.14355,720.4994
2968,488.0912,370.37036
1836,253.50612,588.8439
528,360.7057,721.23096
2967,266.6274,258.08514
1837,386.28207,208.50964
527,647.5212,705.2748
571,345.21356,572.12134
570,179.32635,570.5187
2992,240.34999,200.11359
574,381.39233,721.71875
2993,411.09863,194.01678
575,359.29712,721.99744
2994,724.49854,694.19617
572,151.0221,584.5239
2995,362.48,696.94836
573,421.7511,721.40515
2996,362.9829,694.92773
578,422.93106,721.50964
2997,396.17694,196.90839
579,431.1387,297.5923
2998,450.0423,192.10065
576,313.90494,722.2761
2999,440.3543,195.06195
577,309.44843,721.75354
2991,324.87744,696.9136
580,558.70703,292.05292
2990,447.1359,694.92773
582,721.03046,422.27997
581,528.92896,289.30066
2989,409.91214,696.1471
2983,600.6355,193.04126
583,719.56525,419.38843
2984,388.3133,696.6348
584,435.93698,298.32385
2981,306.7663,193.84259
585,236.66422,426.1471
2982,370.557,196.83875
586,248.35513,234.0813
2987,460.9103,696.0774
587,235.45155,413.39612
2988,398.0013,696.2516
588,488.3307,286.2348
2985,387.97583,696.0426
589,245.10258,206.03613
2986,428.80267,696.28644
1809,128.31076,430.9897
1808,646.10175,173.28772
1807,667.165,210.14716
1806,91.711815,357.89807
1805,119.68733,432.4181
1804,323.22067,208.68384
1803,333.6119,206.73291
1802,336.6881,212.37677
558,578.10925,422.10577
1801,434.01898,206.10577
559,574.09686,419.14447
1800,711.58185,585.6387
556,292.0318,233.41931
557,296.82138,233.87225
554,345.08078,420.32904
555,684.0679,299.99615
552,338.46027,285.32904
553,434.6264,232.72253
550,330.7338,416.39227
551,563.8929,568.14966
560,262.9198,583.33936
569,187.28358,584.03613
565,574.4931,231.53809
566,580.44305,215.6864
567,583.17096,416.42712
568,703.34814,570.8323
561,270.39594,579.2981
562,299.63852,233.7677
563,246.98793,424.75354
564,246.41318,417.61163
1894,713.4977,424.23102
1895,372.85382,427.54065
1892,318.8861,198.47614
1893,531.60675,201.19354
1898,605.682,424.0219
1899,712.7988,422.9071
1896,275.78638,426.77417
1897,698.5303,425.34583
6801,609.21106,728.9303
6800,567.2195,799.96643
6803,550.41455,800.4194
6802,551.23315,804.1471
6805,399.8453,800.2452
6804,587.9845,309.26324
6807,351.93423,800.03613
6806,353.19476,805.68
6809,332.6322,728.7561
6808,357.1418,805.22705
6812,349.68314,806.06323
6811,348.23535,801.6736
6810,385.73563,728.7213
6816,608.68634,797.80646
6815,605.37506,804.0426
6814,668.0707,801.36
6813,668.3972,304.59485
6819,708.9846,726.1781
6818,359.5627,310.44775
6817,411.63205,309.542
2914,542.4921,370.649
1868,512.8882,196.07227
2915,352.374,604.9742
1867,188.05646,400.47095
2912,420.18576,485.338
2913,541.8608,382.45935
1869,446.86377,207.49933
6828,561.58734,800.03613
2918,350.78253,598.11096
6829,495.59775,727.8155
2919,701.8786,601.69934
2916,633.92096,366.67737
2917,347.68237,604.3471
6824,328.70038,726.1781
1860,651.57275,424.5445
6825,334.2868,803.3458
6826,533.7686,732.86707
1862,653.9523,208.05676
6827,562.66284,804.8439
1861,644.6496,203.45807
6820,673.06055,731.5432
2910,502.41858,603.47614
1864,546.4871,205.96643
6821,541.7302,309.12384
2911,640.093,380.99615
1863,606.3547,426.39093
6822,378.4707,805.9587
1866,714.30756,425.7987
6823,385.0629,800.071
1865,667.23254,202.65674
6830,386.6326,722.9381
2901,275.00046,254.49677
1859,402.58408,209.62457
505,277.46274,281.11353
2902,570.28046,254.74066
