ID,x,y
557,197.76257,155.91486
554,229.91626,280.21936
555,455.7725,199.99744
552,225.50522,190.21936
553,289.57764,155.14838
550,220.35733,277.59485
551,375.70377,378.76645
560,175.17505,388.8929
569,124.78105,389.35742
565,382.76636,154.3587
566,386.73062,143.79095
567,388.5481,277.61807
568,468.61832,380.55484
561,180.15614,386.1987
562,199.63953,155.84515
563,164.56013,283.16904
564,164.1772,278.40775
1894,475.38065,282.82065
1895,248.42055,285.0271
1892,212.46358,132.31738
1893,354.19254,134.12903
1898,403.5465,282.68127
1899,474.915,281.93805
1896,183.74762,284.5161
1897,465.40833,283.56387
6801,405.8978,485.95355
6800,377.92014,533.311
6803,366.7236,533.6129
6802,367.26895,536.0981
6805,266.4041,533.49677
6804,391.75522,206.17548
6807,234.4825,533.3574
6806,235.32234,537.12
6809,221.62218,485.8374
6808,237.95213,536.81805
6812,232.98267,537.3755
6811,232.01805,534.44904
6810,257.0033,485.81418
6816,405.54822,531.871
6815,403.34198,536.0284
6814,445.11407,534.24
6813,445.33167,203.06323
6819,472.37372,484.1187
6818,239.56511,206.96515
6817,274.25723,206.36133
2914,361.44513,247.09933
1868,341.72095,130.71484
2915,234.7755,403.31613
1867,125.29599,266.98065
2912,279.9563,323.5587
2913,361.02448,254.9729
1869,297.73102,138.33289
6828,374.16763,533.3574
2918,233.71516,398.74066
6829,330.2009,485.21033
2919,467.63922,401.1329
2916,422.3612,244.4516
2917,231.64963,402.89807
6824,219.00253,484.1187
1860,434.12204,283.02966
6825,222.72458,535.56384
6826,355.6329,488.57806
1862,435.70743,138.70447
6827,374.8842,536.5626
1861,429.50937,135.63873
6820,448.43866,487.6955
2910,334.7454,402.3174
1864,364.10684,137.31097
6821,360.93747,206.08258
2911,426.47345,253.99744
1863,403.9947,284.26065
6822,252.16289,537.3058
1866,475.92026,283.8658
6823,256.55508,533.3806
1865,444.55563,135.10449
6830,257.6009,481.9587
2901,183.224,169.66455
1859,268.22885,139.7497
505,184.86453,187.40906
2902,379.95956,169.82709
1858,438.72452,282.4026
506,150.35954,200.53162
2903,461.99667,326.71744
1857,150.9702,141.37549
503,289.96344,480.26324
2904,115.462906,329.94583
1856,305.44922,137.61292
504,460.66077,478.9626
2905,408.72775,157.98193
509,436.15567,382.83096
2906,125.2989,329.2955
6839,243.07973,207.77808
2907,337.8234,161.7445
507,273.3202,91.34711
2908,426.61124,327.43744
508,435.3042,386.5703
6837,250.73703,208.07999
1851,81.81373,250.11868
6838,244.63759,207.73157
1850,114.538925,287.76773
6835,294.14676,207.47614
6836,387.50232,207.38318
6833,252.11938,485.44257
1855,274.02078,139.07617
501,257.62555,88.28131
6834,469.77002,482.49292
1854,277.4658,138.42578
502,340.97974,474.96774
6831,327.7408,480.77417
1853,241.9672,134.849
6832,333.26294,483.84
2900,220.90997,172.17291
1852,318.39224,137.49677
500,302.86874,192.17035
6841,430.7728,481.44775
6840,202.65662,208.14969
2909,337.059,402.50323
2938,320.9553,329.13293
4709,283.82776,585.47614
2939,321.16708,325.76514
2936,421.28928,168.38708
4707,275.9239,584.8258
2937,328.57053,238.55228
1889,203.52983,138.031
4708,280.1333,307.71872
2934,252.34712,329.66708
4705,254.60703,168.73547
2935,250.28012,329.5742
4706,414.0584,584.1523
6842,442.13614,481.44775
2932,331.57892,245.729
1886,305.84232,133.43225
4703,356.74252,307.20773
6843,262.30493,486.1858
2933,417.31775,173.54321
1885,216.87027,336.96
4704,297.3423,300.89035
6844,262.30203,483.72388
2930,292.35394,256.2503
1888,446.1164,334.33548
4701,287.02182,586.08
6845,242.96948,485.81418
