ID,x,y
1851,418.6486,152.51227
6837,435.72992,384.70062
1850,287.94,152.3497
6838,433.74417,384.12
6835,101.29567,388.7884
6836,444.3598,384.7587
501,309.3482,93.17029
1855,153.00311,154.67227
6833,272.04443,386.94196
502,314.6303,93.11224
1854,155.06648,153.8826
6834,268.1172,384.51483
1853,418.16992,150.80515
6831,109.57089,388.44
500,311.0272,93.13547
1852,417.8762,152.64001
2900,208.06125,199.47482
6832,106.8548,387.3368
6841,261.00165,383.8413
6840,348.2091,386.31485
8984,292.22266,480.0658
2909,467.29977,192.50708
8983,426.5967,479.18323
8986,336.97485,480.0658
8985,290.99405,480.46063
8980,259.05865,480.29807
8982,431.15717,474.84
8981,240.16635,480.00775
8989,224.57834,480.55353
4709,405.27625,281.20645
2938,409.18756,197.66321
8987,333.1999,477.68518
2939,226.63373,198.04642
8988,317.5241,478.8929
4707,179.83557,278.72125
2936,358.2917,197.12903
4708,466.76236,276.89807
1889,448.77158,150.56128
2937,354.9149,200.68259
4705,420.11145,280.38196
2934,220.12088,200.81033
4706,415.58292,280.0103
2935,373.60992,200.68256
4703,220.26956,280.16132
1886,433.49615,152.32645
2932,378.1399,197.73291
6842,257.87286,387.4529
4704,225.04904,281.47357
1885,287.12988,153.97546
2933,224.68713,196.04904
6843,375.41147,383.02838
4701,383.839,280.41675
1888,196.16699,155.76385
2930,457.82208,198.22064
6844,371.63284,387.04645
4702,164.36867,280.7884
1887,198.70105,155.88
2931,455.01025,199.37033
6845,177.66559,387.5458
1882,380.47595,154.04517
6846,173.6723,386.83743
4700,386.86188,279.51096
1881,384.74847,149.07483
6847,471.70068,385.3742
1884,289.9555,154.3471
6848,469.1797,383.5742
1883,199.7019,155.03226
6849,122.130226,384.85162
1890,447.61914,153.42966
1891,234.50208,154.06836
6850,229.81836,384.99097
6852,100.97293,389.43872
6851,225.99188,388.1032
8993,280.66925,480.36774
8992,281.24002,480.4258
8991,253.84042,478.9045
8990,255.79645,480.8671
8997,239.27576,480.12387
8996,239.85739,481.0761
8995,207.66019,481.3432
8994,209.22964,480.58838
2927,286.8637,199.79999
8998,282.17633,480.4839
2928,282.35406,200.04385
8999,281.39233,480.97162
2929,371.77863,197.64001
4716,479.91135,280.55612
2923,352.1147,196.6529
4717,161.12096,283.63354
2924,290.34567,199.91614
4718,157.2778,279.84775
1879,164.45497,155.67099
2925,232.92172,200.61292
4719,257.6408,282.83228
1878,164.38751,146.70581
2926,324.99933,195.86319
4712,424.02643,280.5213
1877,304.35916,153.33676
6855,463.5509,385.44388
4713,374.6289,280.93933
1876,309.1488,153.61548
2920,215.29718,201.05417
6856,191.38751,388.14966
4714,444.8501,279.3484
1875,301.8026,153.67355
2921,264.02454,199.9974
6853,100.21938,389.49677
4715,371.10342,281.04388
1874,193.81207,151.37418
2922,260.60275,199.30063
6854,354.4616,385.96646
1873,268.73074,154.32385
6859,378.3734,387.49933
1872,270.98123,153.46451
4710,402.52243,278.69806
1871,253.84406,153.19742
6857,186.98737,386.36127
4711,427.29517,279.76645
1870,256.17792,153.60385
6858,381.90762,383.44644
1880,291.83752,154.28903
6863,383.84985,387.87097
6862,387.45367,386.8258
6861,359.87857,386.29163
6860,211.72818,387.72
4616,377.7265,276.72388
4615,432.5656,272.92645
4614,437.78674,275.27225
4613,457.03955,273.75098
4612,389.69476,276.79355
4611,392.0736,276.86322
4610,196.70657,276.90967
4619,442.9847,274.80774
4618,198.30652,277.4671
4617,373.33435,275.3071
4603,428.96613,274.4245
4602,392.78873,274.71484
4605,422.17917,273.73938
4604,424.14246,276.15485
4601,395.5679,276.44516
4600,387.42468,275.45807
4607,216.63312,277.35095
4606,308.18054,277.39743
4609,204.04187,278.16388
4608,212.50638,276.89807
4640,456.2867,277.33936
4641,452.74017,277.61807
4634,210.06226,279.13934
4633,429.94888,277.17676
4632,326.50644,278.5703
4631,329.41907,274.5755
4638,333.09253,275.74838
4637,188.16664,277.62967
4636,205.2139,279.1858
