startIntersectionID,endIntersectionID,cost,time
543,547,12.754971,0.0
2943,3127,76.3621,0.0
2943,2944,68.917206,0.0
2943,2764,49.069,0.0
2943,2774,45.411,0.0
6875,6889,13.57995,0.0
6875,6866,18.084576,0.0
6875,6880,13.115101,0.0
6875,6881,8.2676,0.0
5,10,71455.54,0.0
5,13,71479.24,0.0
546,544,16898.797,0.0
546,520,58609.047,0.0
546,547,24.28265,0.0
1810,1811,39.95025,0.0
1810,2184,49.416748,0.0
1810,1438,108.321045,0.0
2942,2935,19.1525,0.0
6878,6879,17.566,0.0
6878,6816,18.0009,0.0
6878,6778,18.2562,0.0
6878,6910,14.579201,0.0
1811,1842,12.96495,0.0
1811,1810,69.49415,0.0
1811,1854,18.925816,0.0
1811,1794,37.7761,0.0
2941,2940,31.09018,0.0
2941,2939,74.07855,0.0
2941,2990,22.32285,0.0
6877,7002,19.411499,0.0
6877,6912,13.9613,0.0
6877,6847,28.403698,0.0
6877,6848,41.0942,0.0
4,7,23.93985,0.0
4,32,26.670849,0.0
4,9,83.2921,0.0
545,540,18.3734,0.0
545,633,14.68375,0.0
545,537,13.66525,0.0
548,548,77.8227,0.0
548,586,47.1215,0.0
1812,1802,49.0347,0.0
1812,1838,45.794598,0.0
1812,1876,54.0365,0.0
1812,1813,42.7642,0.0
1812,1916,51.84755,0.0
2948,3059,39.631203,0.0
2948,2842,23.6477,0.0
2948,2841,28.304249,0.0
2947,2938,28.43865,0.0
2947,2962,71.0571,0.0
2947,3015,43.5997,0.0
1813,1812,42.7642,0.0
1813,1839,10.25596,0.0
1813,1778,15.82415,0.0
547,543,79.7187,0.0
547,546,8.543819,0.0
547,1062,64.86325,0.0
547,552,7.984505,0.0
2946,2962,69.1054,0.0
2946,2864,30.554352,0.0
2946,2865,30.278301,0.0
2946,3015,41.648,0.0
9,10,61.753498,0.0
9,4,33.009098,0.0
9,8,26.4282,0.0
9,39,82.7387,0.0
1814,1982,66.2942,0.0
1814,1823,40.03295,0.0
549,556,90400.2,0.0
549,575,78533.21,0.0
549,459,101192.8,0.0
1815,1816,32.59,0.0
1815,1775,14.62175,0.0
2945,2965,24.82005,0.0
2945,2849,40.93025,0.0
2945,2833,69.0224,0.0
8,9,66.6865,0.0
8,14,21.8314,0.0
1816,1895,51.258102,0.0
1816,1815,34.09975,0.0
1816,1775,48.315804,0.0
1817,1894,14.43906,0.0
1817,1875,9.81181,0.0
1817,1797,8.70891,0.0
1817,1798,9.09721,0.0
1818,1788,10.07308,0.0
1818,1819,34.63555,0.0
1819,1844,13.04385,0.0
1819,1795,25.598415,0.0
1819,1796,42.327103,0.0
1819,1818,9.87758,0.0
1819,1907,24.8994,0.0
2949,3127,40.500298,0.0
2949,3059,26.2465,0.0
2949,2944,33.0554,0.0
6891,7034,54.164,0.0
6891,6969,52.44215,0.0
6891,6755,36.06215,0.0
6891,6754,38.3331,0.0
6892,6882,28.49189,0.0
6892,7079,41.2703,0.0
6892,6890,27.43251,0.0
6892,6900,14.51303,0.0
6890,6889,9.63151,0.0
6890,6888,6.77157,0.0
6890,6892,19.404549,0.0
6890,6881,17.9905,0.0
2980,3036,21.8432,0.0
2980,2973,59.4491,0.0
2980,2972,36.143997,0.0
2980,2986,32.20955,0.0
6895,6723,34.2151,0.0
6895,7100,53.371597,0.0
6895,6955,59.018852,0.0
6895,6707,37.1512,0.0
6895,6896,52.408447,0.0
6896,7111,58.8363,0.0
6896,6886,39.44715,0.0
6896,6906,37.2098,0.0
6896,7083,47.49875,0.0
6896,6895,34.52515,0.0
6896,6981,54.575348,0.0
6893,6942,9.38673,0.0
6894,6942,29.76125,0.0
6894,6791,40.3428,0.0
6889,6876,33.3126,0.0
6889,6875,9.418825,0.0
6889,6890,14.03115,0.0
6889,7056,27.102451,0.0
2975,2957,37.24905,0.0
1843,1935,17.782349,0.0
1843,1788,26.987486,0.0
513,522,34.94845,0.0
513,512,19.1739,0.0
513,478,32.5398,0.0
513,479,20.42675,0.0
6888,6890,11.171209,0.0
6888,6880,8.09191,0.0
6888,7056,24.24251,0.0
2974,2923,24.227589,0.0
1844,1935,15.28465,0.0
