ID,ï»¿X,Y,ID_NODO,TIPO_NODO,,
135,-412804.8894,4932223.879,ZT_079-06-114,Centroide_ZT,,
136,-411935.3966,4932163.14,ZT_079-06-115,Centroide_ZT,,
137,-411269.2155,4932178.08,ZT_079-06-116,Centroide_ZT,,
138,-412649.8685,4931558.38,ZT_079-06-117,Centroide_ZT,,
139,-412026.9885,4931421.701,ZT_079-06-118,Centroide_ZT,,
140,-411551.2472,4931454.991,ZT_079-06-119,Centroide_ZT,,
141,-411117.4846,4931446.746,ZT_079-06-120,Centroide_ZT,,
142,-413570.9066,4930719.069,ZT_079-07-121,Centroide_ZT,,
143,-412505.093,4930831.333,ZT_079-07-122,Centroide_ZT,,
144,-411977.285,4930725.437,ZT_079-07-123,Centroide_ZT,,
145,-411523.0603,4930751.999,ZT_079-07-124,Centroide_ZT,,
146,-411150.0921,4930646.766,ZT_079-07-125,Centroide_ZT,,
147,-413515.8652,4930274.464,ZT_079-07-126,Centroide_ZT,,
148,-412847.6962,4930451.659,ZT_079-07-127,Centroide_ZT,,
149,-412674.96,4930085.302,ZT_079-07-128,Centroide_ZT,,
150,-411924.7711,4930148.015,ZT_079-07-129,Centroide_ZT,,
151,-411181.4469,4930049.489,ZT_079-07-130,Centroide_ZT,,
152,-413509.6717,4929681.993,ZT_079-07-131,Centroide_ZT,,
153,-412745.0232,4929638.806,ZT_079-07-132,Centroide_ZT,,
154,-412104.0721,4929542.681,ZT_079-07-133,Centroide_ZT,,
155,-411435.607,4929382.291,ZT_079-07-134,Centroide_ZT,,
156,-410892.0108,4929207.891,ZT_079-07-135,Centroide_ZT,,
157,-413538.7712,4929091.809,ZT_079-07-136,Centroide_ZT,,
158,-412795.872,4928999.664,ZT_079-07-137,Centroide_ZT,,
159,-412225.4278,4928830.214,ZT_079-07-138,Centroide_ZT,,
160,-411775.667,4928785.254,ZT_079-07-139,Centroide_ZT,,
161,-411089.544,4928441.57,ZT_079-07-140,Centroide_ZT,,
162,-409052.0498,4936677.801,ZT_079-08-128,Centroide_ZT,,
163,-414032.9076,4935023.233,ZT_079-08-176,Centroide_ZT,,
164,-413466.7822,4935629.777,ZT_079-08-178,Centroide_ZT,,
165,-413372.2632,4935187.532,ZT_079-08-179,Centroide_ZT,,
166,-413259.4864,4934754.089,ZT_079-08-180,Centroide_ZT,,
167,-412843.1595,4935920.098,ZT_079-08-182,Centroide_ZT,,
168,-412746.5644,4935554.862,ZT_079-08-183,Centroide_ZT,,
169,-412583.6111,4935132.484,ZT_079-08-184,Centroide_ZT,,
170,-411382.2389,4936432.972,ZT_079-08-194,Centroide_ZT,,
171,-410676.3393,4936249.201,ZT_079-08-195,Centroide_ZT,,
172,-411597.1265,4936039.281,ZT_079-08-196,Centroide_ZT,,
173,-411940.6576,4935746.996,ZT_079-08-197,Centroide_ZT,,
174,-411879.3642,4935389.671,ZT_079-08-198,Centroide_ZT,,
175,-410939.6948,4935511.927,ZT_079-08-199,Centroide_ZT,,
176,-417089.337,4933834.414,ZT_079-09-205,Centroide_ZT,,
177,-415109.7489,4933995.278,ZT_079-09-206,Centroide_ZT,,
178,-414529.7486,4934274.983,ZT_079-09-207,Centroide_ZT,,
179,-413962.152,4934242.763,ZT_079-09-208,Centroide_ZT,,
180,-413397.5166,4933903.012,ZT_079-09-209,Centroide_ZT,,
181,-413471.2148,4933631.48,ZT_079-09-210,Centroide_ZT,,
182,-413176.0134,4932975.407,ZT_079-09-211,Centroide_ZT,,
183,-413682.9882,4933035.836,ZT_079-09-212,Centroide_ZT,,
184,-416720.2958,4931729.889,ZT_079-09-214,Centroide_ZT,,
185,-415639.764,4931726.721,ZT_079-09-215,Centroide_ZT,,
186,-414546.1128,4932399.611,ZT_079-09-216,Centroide_ZT,,
187,-413630.534,4932281.745,ZT_079-09-217,Centroide_ZT,,
188,-415490.3169,4929976.284,ZT_079-09-218,Centroide_ZT,,
189,-414933.0372,4930772.819,ZT_079-09-219,Centroide_ZT,,
190,-414287.1589,4930130.072,ZT_079-09-220,Centroide_ZT,,
191,-414205.8213,4931366.314,ZT_079-09-221,Centroide_ZT,,
192,-413391.5218,4931439.145,ZT_079-09-222,Centroide_ZT,,
193,-415404.994,4928370.21,ZT_079-09-225,Centroide_ZT,,
194,-414602.1506,4928497.624,ZT_079-09-226,Centroide_ZT,,
195,-414180.6422,4928895.699,ZT_079-09-227,Centroide_ZT,,
196,-413902.8015,4928451.804,ZT_079-09-228,Centroide_ZT,,
197,-414389.5123,4927515.761,ZT_079-09-229,Centroide_ZT,,
198,-414083.4893,4927383.846,ZT_079-09-230,Centroide_ZT,,
199,-413338.2475,4927767.592,ZT_079-09-231,Centroide_ZT,,
200,-410446.904,4922614.628,BARRIO_079024,Centroide_Barrio,,
201,-411774.5464,4923470.229,BARRIO_079023,Centroide_Barrio,,
202,-410720.0715,4923769.786,BARRIO_079025,Centroide_Barrio,,
203,-409893.1493,4924238.304,BARRIO_079027,Centroide_Barrio,,
204,-412687.0599,4924388.647,BARRIO_079022,Centroide_Barrio,,
205,-408650.8968,4924406.172,BARRIO_079032,Centroide_Barrio,,
206,-411231.4122,4924832.272,BARRIO_079026,Centroide_Barrio,,
207,-409598.1759,4924865.532,BARRIO_079031,Centroide_Barrio,,
208,-413921.9444,4925145.343,BARRIO_079021,Centroide_Barrio,,
209,-412094.1394,4925617.191,BARRIO_079012,Centroide_Barrio,,
210,-408924.4102,4925937.843,BARRIO_079036,Centroide_Barrio,,
211,-410211.6374,4926231.099,BARRIO_079035,Centroide_Barrio,,
212,-408044.0824,4926298.518,BARRIO_079033,Centroide_Barrio,,
213,-411528.2993,4926414.164,BARRIO_079013,Centroide_Barrio,,
214,-413965.3513,4926738.106,BARRIO_079011,Centroide_Barrio,,
215,-412337.3302,4926756.252,BARRIO_079016,Centroide_Barrio,,
216,-409025.2754,4927001.399,BARRIO_079034,Centroide_Barrio,,
217,-411511.8562,4927698.215,BARRIO_079014,Centroide_Barrio,,
218,-410305.6085,4927837.283,BARRIO_079041,Centroide_Barrio,,
219,-409035.6711,4927903.266,BARRIO_079042,Centroide_Barrio,,
220,-407858.665,4927921.546,BARRIO_079043,Centroide_Barrio,,
221,-412671.3284,4927993.852,BARRIO_079015,Centroide_Barrio,,
222,-413869.2469,4928360.382,BARRIO_079092,Centroide_Barrio,,
223,-409186.99,4928921.939,BARRIO_079045,Centroide_Barrio,,
